match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee
22912,2019-06-01,21:00:00.000,16,4,38,24,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",13,"{'id': 26, 'name': 'Final'}","{'id': 4654, 'name': 'Estadio Wanda Metropolitano (Madrid)', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 420, 'name': 'Damir Skomina', 'country': {'id': 208, 'name': 'Slovenia'}}"
18245,2018-05-26,20:45:00.000,16,1,220,24,3,1,available,scheduled,2021-01-23T21:55:30.425330,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",7,"{'id': 26, 'name': 'Final'}","{'id': 4222, 'name': ""NSK Olimpijs''kyj"", 'country': {'id': 238, 'name': 'Ukraine'}}","{'id': 727, 'name': 'Milorad Mažić', 'country': {'id': 203, 'name': 'Serbia'}}"
18244,2017-06-03,20:45:00.000,16,2,224,220,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},7,"{'id': 26, 'name': 'Final'}","{'id': 113891, 'name': 'Principality Stadium', 'country': {'id': 249, 'name': 'Wales'}}","{'id': 186, 'name': 'Felix Brych', 'country': {'id': 85, 'name': 'Germany'}}"
18243,2016-05-28,20:45:00.000,16,27,220,212,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 388, 'name': 'Stadio Giuseppe Meazza (Milano)', 'country': {'id': 112, 'name': 'Italy'}}","{'id': 728, 'name': 'Mark Clattenburg', 'country': {'id': 68, 'name': 'England'}}"
18242,2015-06-06,20:45:00.000,16,26,224,217,1,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 367, 'name': 'Olympiastadion Berlin', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 581, 'name': 'Cüneyt Çakιr', 'country': {'id': 233, 'name': 'Turkey'}}"
18241,2014-05-24,20:45:00.000,16,25,220,212,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 611, 'name': 'Estádio do Sport Lisboa e Benfica (da Luz)', 'country': {'id': 183, 'name': 'Portugal'}}","{'id': 287, 'name': 'Björn Kuipers', 'country': {'id': 160, 'name': 'Netherlands'}}"
18240,2013-05-25,20:45:00.000,16,24,180,169,1,2,available,scheduled,2021-07-10T13:41:45.751,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 4666, 'name': 'Wembley Stadium (London)', 'country': {'id': 68, 'name': 'England'}}","{'id': 419, 'name': 'Nicola Rizzoli', 'country': {'id': 112, 'name': 'Italy'}}"
18237,2012-05-19,20:45:00.000,16,23,169,33,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 4867, 'name': 'Allianz Arena (München)', 'country': {'id': 85, 'name': 'Germany'}}","{'id': 717, 'name': 'Pedro Proença', 'country': {'id': 183, 'name': 'Portugal'}}"
18235,2010-05-22,20:45:00.000,16,22,169,238,0,2,available,scheduled,2021-06-22T21:17:46.381,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 353, 'name': 'Estadio Santiago Bernabéu', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 708, 'name': 'Howard Webb', 'country': {'id': 68, 'name': 'England'}}"
18236,2011-05-28,20:45:00.000,16,21,217,39,3,1,available,scheduled,2021-06-22T21:24:20.506,2021-06-13T16:17:31.694,{'data_version': '1.0.3'},1,"{'id': 26, 'name': 'Final'}","{'id': 4666, 'name': 'Wembley Stadium (London)', 'country': {'id': 68, 'name': 'England'}}","{'id': 449, 'name': 'Viktor Kassai', 'country': {'id': 103, 'name': 'Hungary'}}"
